full_text,value
"['sekjen', 'kemhan', 'marsdya', 'tni', 'donny', 'ermawan', 'taufanto', 'temu', 'menteri', 'laut', 'ikan', 'sakti', 'wahyu', 'trenggono', 'saktitrenggono', 'jakarta', 'rabu', 'httpstcojlwzzonu']",HOAX
"['anak', 'tni', 'saja', 'singgung', 'banget', 'bapakx', 'masih', 'aktif']",HOAX
"['chavesz', 'sok', 'tau', 'bokap', 'pensiun', 'perwira', 'tni', 'aja', 'malah', 'dukung']",HOAX
"['vivacoid', 'kalo', 'gin', 'bisa', 'bilang', 'tni', 'netral']",HOAX
"['pierreicon', 'vivacoid', 'lah', 'sotau', 'keluarga', 'prajurit', 'tni', 'lihat', 'apa', 'sampai', 'anies', 'valid', 'kok', 'prajurit', 'banyak', 'belum', 'sejahtera', 'rumah', 'dinas', 'naik', 'gaji', 'lebih', 'jarang', 'banding', 'masa', 'sby']",HOAX
"['tvonenews', 'ngamuk', 'beda', 'nilai', 'kemenhan', 'tni']",HOAX
"['nniffhh', 'tempodotco', 'prabowo', 'aniesbaswedan', 'ganjarpranowo', 'mohmahfudmd', 'cakiminow', 'gak', 'polisi', 'kpk', 'aja', 'gak', 'masuk', 'tni', 'saya', 'lapor', 'kpk', 'kalah', 'taring', 'kata', 'bukan', 'ranah']",HOAX
"['keptenhusin', 'adriansyahyasin', 'bukan', 'whoos', 'tanah', 'tni']",HOAX
"['prkedelkentang', 'pierreicon', 'vivacoid', 'hasil', 'klo', 'tni', 'imitasi', 'kemenhan', 'jelas', 'urus', 'tni', 'kemenhan', 'jalur', 'koordinasi', 'kerja', 'tni', 'cuma', 'bagi', 'kerja', 'kemenhan', 'kerja', 'tni', 'bagus', 'overall', 'kerja', 'kemenhan', 'jelek', 'kan', 'aja']",HOAX
"['chavesz', 'tentara', 'dinas', 'papua', 'balikpapan', 'fakta', 'keluarga', 'mayoritas', 'sejahtera', 'tni', 'jadi', 'konsern', 'alutsista', 'ratus', 'triliunsn', 'nasib', 'tentara', 'abai']",HOAX
"['dirjen', 'kuathan', 'kemhan', 'laksda', 'tni', 'bambang', 'irwanto', 'pimpin', 'upacara', 'bendera', 'bulan', 'jakarta', 'rabu', 'ikut', 'seluruh', 'personel', 'militer', 'asn', 'kemhan', 'httpstcofyutamx']",HOAX
"['sosialisasi', 'netralitas', 'tni', 'milu', 'tahun', 'jajar', 'kodam', 'jaya', 'httpstcoctrathhfx']",HOAX
"['murtadhaone', 'buat', 'pak', 'jokowi', 'sdh', 'dimakjulkan', 'alias', 'game', 'over', 'tak', 'perlu', 'proses', 'dpr', 'mpr', 'kesuen', 'nyata', 'sembako', 'atas', 'nama', 'presiden', 'menteri', 'nya', 'terang', 'sebut', 'jkw', 'indikasi', 'asntnikpubawaslu', 'intimidasi', 'bnyk', 'bocor', 'tak', 'jelas', 'ujung']",HOAX
"['pecadopo', 'zamal', 'wilda', 'vivacoid', 'wkwkwkkw', 'gin', 'mas', 'zamal', 'menhan', 'bukan', 'tni', 'dulu', 'indonesia', 'pernah', 'punya', 'menhan', 'kalang', 'sipil', 'prof', 'mahfud', 'jadi', 'beda', 'dulu', 'nih', 'kmrin', 'nilai', 'buat', 'bijak', 'dukung', 'administrasi', 'tni', 'kemenhan']",HOAX
"['duga', 'tekan', 'purnawirawan', 'tni', 'polri', 'tetap', 'dukung', 'ganjarmahfud', 'httpstcohxvlyisip']",HOAX
"['baru', 'ngeh', 'anies', 'ngasih', 'statement', 'prabowo', 'punya', 'tanah', 'luas', 'kalo', 'singapura', 'target', 'audiensnya', 'buat', 'anggota', 'tni', 'aktif', 'bukan', 'buat', 'netijen']",HOAX
"['kunjung', 'kerja', 'wilayah', 'kodim', 'layar', 'danrem', 'toddopuli', 'tekan', 'netralitas', 'tni', 'milu', 'httpstcooqmjlajkn']",HOAX
"['geraldy', 'arigatou', 'ger', 'sung', 'party', 'sih', 'wkakkak', 'adegan', 'ger', 'belakang', 'lakespra', 'saryanto', 'tni']",HOAX
"['tvonenews', 'loh', 'koq', 'marahmabes', 'tni', 'aja', 'slowtuh']",HOAX
"['aib', 'tni', 'pernah', 'punya', 'mantan', 'jendral', 'ini', 'tnimantan', 'tni', 'punya', 'tgg', 'jawab', 'jaga', 'daulat', 'negara', 'bukan', 'malah', 'provokasi', 'utk', 'makar', 'puspen', 'tni', 'mantanjendralmaumakar', 'httpstcoadtmkfwwn']",HOAX
"['hilang', 'fungsi', 'luhur', 'akibat', 'stroke', 'perlu', 'tanya', 'status', 'sehat', 'jiwa', 'beliau', 'rspad', 'jawab', 'nih', 'puspen', 'tni']",HOAX
"['periksa', 'nandoderrr', 'ngga', 'sekali', 'bro', 'komplain', 'prabowo', 'jgn', 'jadi', 'capres', 'kan', 'tahan', 'tuh', 'bawah', 'tni', 'semua', 'adl', 'netral']",HOAX
"['tni', 'kecewa', 'prabowo', 'nilai', 'rakyat', 'kecewa', 'dapat', 'informasi', 'beli', 'pesawat', 'bekas', 'tehnologi', 'nya', 'usang', 'beli', 'pesawat', 'rafale', 'lebih', 'mahal', 'beli', 'negara', 'perancis', 'negara', 'produksi', 'transaksi', 'semua', 'buka', 'publik', 'httpstcoipobiyikj']",HOAX
"['jembatan', 'gantung', 'putus', 'prajurit', 'tni', 'evakuasi', 'warga', 'httpstcosrvafbx', 'httpstcoyqvhwnparq']",HOAX
"['putrapadjadja', 'seperti', 'lebih', 'parah', 'tni', 'polri', 'sekarang', 'pihak', 'kuasa', 'jika', 'lihat', 'bagai', 'peristiwa', 'sekarang', 'lebih', 'sadis']",HOAX
"['vidcon', 'rakor', 'kesiap', 'aman', 'tps', 'libat', 'tni', 'opsmantapbratamusi', 'pemilusumsel', 'pemilusejukdamaiaman', 'polisi', 'sumsel', 'polisi', 'indonesia', 'divisihumaspolri', 'listyosigitprabowo', 'kapolda', 'sumsel', 'mrgungs', 'polpak', 'spripimpolri', 'httpstcodhnbhovvhj']",HOAX
"['tni', 'gegara', 'rumah', 'deket', 'kostrad', 'terus', 'ganti', 'pgn', 'jadi', 'pelukisseniman', 'terus', 'ganti', 'pgn', 'jadi', 'arsitek', 'skrg', 'pgn', 'punya', 'duit', 'banyak', 'terus', 'bikin', 'kos', 'kosan']",HOAX
"['selasa', 'januari', 'terima', 'kasih', 'mastercorbuzier', 'atas', 'undang', 'acara', 'podcastnya', 'sempat', 'bagi', 'kisah', 'alam', 'saya', 'tni', 'angkat', 'darat', 'bahas', 'putar', 'politik', 'nilainilai', 'pimpin', 'baik', 'httpstcohnfoxvho']",HOAX
"['jokowi', 'sdh', 'dimakjulkan', 'alias', 'game', 'over', 'apa', 'laku', 'hingga', 'feb', 'nyata', 'beri', 'dukung', 'anak', 'struktur', 'sistematis', 'masif', 'intimidasiiming', 'asntni', 'sembako', 'atas', 'nama', 'presiden', 'menteri', 'nya', 'terang', 'loh']",HOAX
"['biasalahanakmud', 'rumah', 'tni', 'pancoran', 'masuk', 'kompleks', 'situ', 'serasa', 'masuk', 'dimensi', 'beda', 'lompat', 'tahun', 'an', 'gitu', 'bagus', 'bgt', 'ken', 'situ', 'terus', 'auto', 'healing', 'dah', 'kalo', 'kesana', 'hahaha', 'httpstcopkreemanu']",HOAX
"['babinsa', 'desa', 'soko', 'serka', 'juhari', 'laksana', 'giat', 'bakti', 'tni', 'bantu', 'warga', 'rehab', 'rumah', 'tempat', 'rumah', 'bpsarmani', 'miri', 'rt', 'dssoko', 'kecmiri', 'kab', 'sragen', 'httpstcoadtoiol']",HOAX
"['ab', 'adikumara', 'jungerrebell', 'nebuchanedzar', 'i', 'dia', 'kunci', 'tuju', 'beli', 'fex', 'integrasi', 'kf', 'pakai', 'mesin', 'donell', 'douglass', 'baru', 'lanjut', 'tot', 'kf', 'kemarin', 'macet', 'krn', 'mau', 'nya', 'pakai', 'mesin', 'sukhoi', 'krn', 'technisi', 'tni', 'familiar', 'dgn', 'sukhoi']",HOAX
"['alie', 'fahnoor', 'kubu', 'anies', 'ada', 'purnawirawan', 'tni', 'kubu', 'ganjar', 'sama', 'masa', 'debat', 'tahan', 'kaga', 'konsul', 'dlu', 'ama', 'timsesnya', 'masing', 'kalo', 'siap', 'debat', 'bilang', 'aja', 'siap', 'playing', 'victim', 'aje', 'bapak']",HOAX
"['dumbtobedumber', 'wkwk', 'byk', 'justifikasi', 'sih', 'misal', 'buat', 'berantas', 'pasu', 'papua', 'merdeka', 'kalo', 'aceh', 'kyk', 'gam', 'korban', 'biasa', 'rakyat', 'biasa', 'sih', 'tni', 'dtg', 'rakyat', 'minta', 'pajak', 'lindung', 'kkb', 'dtg', 'rakyat', 'minta', 'pajak', 'lindung', 'kaya', 'siapa']",HOAX
"['chavesz', 'ngak', 'pilih', 'lah', 'keluarga', 'tni', 'istri', 'anak', 'ibu', 'ipar', 'mertua']",HOAX
"['watanaxe', 'selfolconvo', 'ditamya', 'gin', 'militer', 'bgt', 'bukan', 'tni', 'kan']",HOAX
"['pangdam', 'diponegoro', 'apel', 'siaga', 'matra', 'prajurit', 'tni', 'minta', 'redam', 'emosi', 'httpstcoljdtocebg']",HOAX
"['randomworldwar', 'ohs', 'yett', 'kalau', 'dasar', 'kondisi', 'ini', 'tnikira', 'kira', 'hitung', 'sanggup', 'berapa', 'lama', 'hadap', 'invasi', 'luar']",HOAX
"['tadi', 'apa', 'kata', 'eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'soal', 'nilai', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['pasal', 'dudung', 'jadi', 'ksad', 'jenderal', 'bintang', 'sebut', 'nilai', 'butuh', 'rumah', 'dinas', 'prajurit', 'tni', 'lebih', 'baik', 'prabowo', 'jabat', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['tayang', 'youtube', 'deddy', 'corbuzier', 'dudung', 'abdurachman', 'ban', 'nyata', 'anies', 'baswedan', 'kait', 'paruh', 'prajurit', 'tni', 'tak', 'punya', 'rumah', 'dinas', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'beri', 'nilai', 'banding', 'balik', 'dua', 'capres', 'sebut', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['eks', 'ksad', 'jenderal', 'tni', 'purn', 'dudung', 'abdurachman', 'buka', 'suara', 'beri', 'nilai', 'buat', 'menteri', 'tahan', 'prabowo', 'subianto', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['skakmat', 'anies', 'baswedan', 'eks', 'ksad', 'dudung', 'abdurachman', 'nilai', 'prabowo', 'subianto', 'persen', 'rumah', 'tni', 'bagus', 'httpstcoekqekhr', 'indonesiasentris', 'indonesiahijau', 'lanjut', 'anakmudaindonesiaemas', 'prabowo', 'subianto']",HOAX
"['serius', 'kelas', 'tni', 'ngerjain', 'proker', 'anak', 'kkn']",HOAX
"['chavesz', 'prabowo', 'tni', 'pecat', 'karirnya', 'mulus', 'mertua']",HOAX
"['cakap', 'tmn', 'kelas', 'siang', 'itu', 'kan', 'culik', 'aktivis', 'tmn', 'normal', 'ajasih', 'kan', 'tni', 'aksi', 'kamis', 'joke', 'you']",HOAX
"['chavesz', 'tni', 'sakit', 'hati', 'nama', 'tni', 'sontoloyogoblok']",HOAX
"['liputandotcom', 'stop', 'bodhi', 'masyarakat', 'indonesia', 'min', 'peringkat', 'kuat', 'militer', 'ada', 'israel', 'punya', 'nuklir', 'punya', 'industri', 'alutsista', 'sendiri', 'lah', 'impor', 'noh', 'meriam', 'engkol', 'pake', 'tni', 'jaman', 'suharto', 'muda']",HOAX
"['ronny', 'hadyanto', 'diazepammg', 'versi', 'resmi', 'tni', 'mula', 'selamat', 'kapal', 'perang', 'inggris', 'kapal', 'torpedo', 'belanda', 'tenggelam', 'httpstcornzbzycz']",HOAX
"['irwanresma', 'zy', 'zy', 'its', 'me', 'prabowo', 'adri', 'i', 'vaniakiara', 'dika', 'maxelyou', 'ki', 'cebong', 'haramasoy', 'iya', 'kan', 'pernah', 'ikut', 'naik', 'jet', 'tempur', 'tni', 'arti', 'sehat', 'jantung', 'sgt', 'prima']",HOAX
"['rentfess', 'tni', 'nih', 'bos']",HOAX
"['inti', 'jadi', 'instruktur', 'tetap', 'guru', 'militer', 'tarunataruni', 'tni', 'salah', 'satu', 'training', 'programme', 'mereka', 'bawa', 'sudah', 'terap', 'latih', 'fisik', 'teori', 'kelas', 'hingga', 'praktik', 'militer', 'lain']",HOAX
"['txtdrberseragam', 'laku', 'anggota', 'tni', 'skrg', 'laku', 'udah', 'proses', 'disel', 'markas', 'polisi', 'militer']",HOAX
"['instruktur', 'army', 'amp', 'australian', 'army', 'akademi', 'militer', 'tni', 'tempat', 'akademi', 'militer', 'bentuk', 'kerjasama', 'indonesia', 'australia', 'bidang', 'tahan', 'tuju', 'calon', 'perwira', 'akmil', 'lulus', 'dapat', 'lebih', 'professional', 'dan', 'lebih', 'baik', 'httpstcofodjse']",HOAX
"['uji', 'kuat', 'fisik', 'caba', 'priawanita', 'cata', 'tni', 'lanal', 'cilacap', 'jalan', 'tes', 'samapta', 'jasmani', 'httpstcosprntifsr', 'news', 'berita', 'kabar', 'popular', 'klikwarta', 'infomasyarakat', 'viral', 'beritaterkini']",HOAX
"['menhan', 'prabowo', 'berangkat', 'kapal', 'rumah', 'sakit', 'tni', 'bawa', 'bantu', 'palestina', 'besok', 'httpstcoyjugebp']",HOAX
"['zahraproduction', 'dennysiregar', 'baru', 'tau', 'alas', 'jokowi', 'pecat', 'firli', 'nyata', 'kebiri', 'polri', 'tni', 'rendah', 'kudu', 'manut', 'plonga', 'plongo']",HOAX
"['mah', 'gak', 'cuma', 'airbase', 'tni', 'doang', 'surabaya', 'naval', 'base', 'laku', 'sama', 'bakal', 'ngadepin', 'minimal', 'anggota', 'masih', 'muda', 'muda', 'wkwkwk']",HOAX
"['trauma', 'banget', 'tiap', 'ketemu', 'tnipolisi', 'yaa', 'akhir', 'ketemu', 'belagu', 'banget', 'minta', 'tonjok']",HOAX
"['urrangawak', 'dennysiregar', 'semua', 'survei', 'benar', 'ada', 'cuma', 'raup', 'aja', 'makanya', 'make', 'bansos', 'kades', 'satpol', 'tni', 'polri', 'jaksa', 'rakyat', 'milenial', 'gen', 'udah', 'cerdas', 'paham', 'politik']",HOAX
"['panglima', 'kostrad', 'pangkostrad', 'letnan', 'jenderal', 'tni', 'muhammad', 'saleh', 'mustafa', 'direktur', 'utama', 'sang', 'hyang', 'seri', 'adhi', 'cahyono', 'nugroho', 'bumndukungpangan', 'sanghyangseri', 'kolaborasishsamp', 'pangkostrad', 'httpstcopclqmxbr']",FAKTA
"['recehtapisayng', 'panjang', 'jalan', 'geber', 'knalpot', 'oghhh', 'bukan', 'hny', 'depan', 'markas', 'tni']",FAKTA
"['puspita', 'eka', 'jebak', 'betmen', 'cipta', 'kondisi', 'rusuh', 'buka', 'jalan', 'tni', 'turun', 'lapang']",HOAX
"['mas', 'ganjar', 'inspirasi', 'sikap', 'brkorban', 'tingkat', 'kualitas', 'hidup', 'prajurit', 'tni', 'polri', 'xcampfire', 'ganjarmahfud', 'dulujokowisekarangganjar', 'coblos', 'httpstconsckhpvjd']",HOAX
"['watsitoyaaa', 'democrazymedia', 'bukan', 'tni']",HOAX
"['doktertifa', 'syukur', 'sekarang', 'papua', 'aman', 'kendali', 'berkat', 'kerjasama', 'tnipolri', 'httpstcoppvzvnubs']",HOAX
"['chavesz', 'bukan', 'kata', 'lebih', 'leceh', 'tni', 'httpstcoiglxxdewoa']",HOAX
"['tvonenews', 'perwira', 'tni', 'media', 'masuk', 'angincondong', 'berat', 'haha']",HOAX
"['upacara', 'an', 'bulan', 'januari', 'pimpin', 'inspektur', 'upacara', 'komandan', 'pusdikarhanud', 'brigjen', 'tni', 'edi', 'setiawan', 'tempat', 'lapang', 'upacara', 'poltekad', 'kodiklatad', 'rupa', 'saksi', 'laksana', 'upacara', 'ingat', 'an', 'penuh', 'makna', 'httpstcowlfphvl']",HOAX
