created_at,full_text,username,tweet_url,value,value_link_source
Thu Jan 11 02:09:03 +0000 2024,"['anggota', 'tni', 'ad', 'libat', 'sindikat', 'curanmor', 'pomdam', 'v', 'brawijaya', 'telusur', 'lebih', 'lanjut', 'https', 't', 'co', '262fb2lkfc']",nusantara_kini,https://twitter.com/nusantara_kini/status/1745266538960294287,FAKTA,CNN Indonesia
Thu Jan 11 02:08:46 +0000 2024,"['goodwindology', '0', 'ooen', 'kek', 'nya', '165', 'an', 'tuh', 'tni', 'standar', 'lah', 'buat', 'orang', 'indo']",Ontahewan,https://twitter.com/Ontahewan/status/1745266469305491906,HOAX,
Thu Jan 11 02:05:53 +0000 2024,"['jaga', 'aman', 'tertib', 'masyarakat', 'kamtibmas', 'desa', 'panyingkiran', 'camat', 'panyingkiran', 'kabupaten', 'majalengka', 'bhabinkamtibmas', 'polsek', 'panyingkiran', 'polres', 'majalengka', 'polda', 'jabar', 'bripka', 'dede', 'rohimat', 'laku', 'temu', 'unsur', 'tni', 'https', 't', 'co', 'lye4t7m6n6']",HumasPolresMaj1,https://twitter.com/HumasPolresMaj1/status/1745265744882131039,FAKTA,https://humas.polri.go.id/2024/01/11/polisi-tni-dan-aparatur-pemerintahan-bersatu-jaga-kamtibmas-di-desa-panyingkiran-menjelang-pemilu-2024/
Thu Jan 11 02:05:49 +0000 2024,"['jamalboegis', 'puspen', 'tni', 'atas', 'sering', 'bilang', 'begini', 'nyata', 'lapang', 'beda', 'jd', 'ya', 'gitu', 'dech']",winimanda354,https://twitter.com/winimanda354/status/1745265728436203574,HOAX,
Thu Jan 11 02:04:52 +0000 2024,"['kapolda', 'riau', 'irjen', 'mohammad', 'iqbal', 'sama', 'danrem', '031', 'wira', 'bima', 'brigjen', 'tni', 'dany', 'rakca', 'kunjung', 'warga', 'dampak', 'banjir', 'bonai', 'darussalam', 'rok', 'hulu', 'baca', 'lengkap', 'https', 't', 'co', 'etwzejdtbp', 'https', 't', 'co', '9f5epajafd']",PolsekKuntoDs,https://twitter.com/PolsekKuntoDs/status/1745265489813946876,FAKTA,TVRI
Thu Jan 11 02:04:06 +0000 2024,"['anies', 'salah', 'semua', '1', 'salah', 'data', 'tanah', 'prabowo', 'harus', '500', 'ribu', 'hektar', 'sebut', '340', 'ribu', 'hektar', '2', 'salah', 'data', 'rumah', 'dinas', 'tni', 'harus', 'lebih', 'paruh', '51', '7', 'tak', 'punya', 'rumdin', 'sebut', 'paruh', '3', 'salah', 'data', 'serang', 'siber', 'harus', 'lebih', '900', 'juta', 'sebut', 'lebih', '800', 'juta']",ardhsta,https://twitter.com/ardhsta/status/1745265295131103625,FAKTA,https://www.detik.com/sumbagsel/berita/d-7131918/anies-bilang-separuh-tentara-tak-punya-rumah-dinas-ini-kata-mabes
Thu Jan 11 02:03:06 +0000 2024,"['pangkostrad', 'letnan', 'jenderal', 'tni', 'muhammad', 'saleh', 'mustafa', 'direktur', 'utama', 'pt', 'shs', 'adhi', 'cahyono', 'nugroho', 'laksana', 'giat', 'gera', 'nasional', 'tahan', 'pangan', 'lalu', 'tanam', 'perdana', 'budi', 'daya', 'padi', 'lumbung', 'pangan', 'sang', 'hyang', 'seri', 'bumndukungpangan', 'sanghyangseri', 'https', 't', 'co', 'cyvhwb6rqr']",JTzen_SBY_Jago,https://twitter.com/JTzen_SBY_Jago/status/1745265045372879019,FAKTA,https://ptsanghyangseri.co.id/
Thu Jan 11 02:02:39 +0000 2024,"['panglima', 'kostrad', 'pangkostrad', 'letnan', 'jenderal', 'tni', 'muhammad', 'saleh', 'mustafa', 'direktur', 'utama', 'pt', 'sang', 'hyang', 'seri', 'adhi', 'cahyono', 'nugroho', 'laksana', 'giat', 'gera', 'nasional', 'tahan', 'pangan', 'lalu', 'tanam', 'perdana', 'budi', 'daya', 'padi', 'lumbung', 'pangan', 'sang', 'hyang', 'seri', 'https', 't', 'co', 'dufhpjbbdv']",Captaintbt_nk,https://twitter.com/Captaintbt_nk/status/1745264928288907485,FAKTA,https://ptsanghyangseri.co.id/
Thu Jan 11 02:02:35 +0000 2024,"['kenal', 'anak', 'didik', 'tni', 'tk', 'ibnu', 'sina', 'jatisrono', 'kunjung', 'makoramil', 'https', 't', 'co', 'mqdixqfshf', 'https', 't', 'co', 't5csmceikf']",SinarTerkini,https://twitter.com/SinarTerkini/status/1745264914095362064,FAKTA,LintasJatimNews.com
Thu Jan 11 02:02:11 +0000 2024,"['anggita', 'lung', 'moga', 'anggota', 'tni', 'yg', 'tugas', 'beri', 'lindung', 'selamat', 'lama', 'aman', 'papua', 'bisa', 'ke', 'keluarga', 'dg', 'ada', 'sehat', 'semangat', 'utk', 'tni', 'selamat', 'juang']",mieayam_jamur,https://twitter.com/mieayam_jamur/status/1745264810969981016,FAKTA,https://www.kompas.tv/regional/473154/pangkostrad-temui-warga-dan-pasukan-pandawa-kostrad-di-kenyam-nduga
